Clan,Time,Members,Collectors,Thieves,Warriors,Food
1,487,18,9,7,2,52
2,487,0,0,0,0,4
1,488,18,9,7,2,52
2,488,0,0,0,0,4
1,489,18,9,7,2,52
2,489,0,0,0,0,4
1,490,18,9,7,2,52
2,490,0,0,0,0,4
1,490,18,9,7,2,52
2,490,0,0,0,0,4
1,491,18,9,7,2,52
2,491,0,0,0,0,4
1,492,18,9,7,2,52
2,492,0,0,0,0,4
1,493,18,9,7,2,57
2,493,0,0,0,0,4
1,494,18,9,7,2,57
2,494,0,0,0,0,4
1,495,18,9,7,2,57
2,495,0,0,0,0,4
1,496,18,9,7,2,57
2,496,0,0,0,0,4
1,497,18,9,7,2,62
2,497,0,0,0,0,4
1,498,18,9,7,2,67
2,498,0,0,0,0,4
1,499,18,9,7,2,67
2,499,0,0,0,0,4
1,500,18,9,7,2,68
2,500,0,0,0,0,4
1,501,18,9,7,2,68
2,501,0,0,0,0,4
1,502,18,9,7,2,68
2,502,0,0,0,0,4
1,503,18,9,7,2,80
2,503,0,0,0,0,4
